	sample	lambda
0	('feces', 3001, 4, 'CSM5FZ3N')	1.0
1	('feces', 3002, 5, 'CSM5FZ3X')	1.0
2	('feces', 3002, 6, 'CSM5FZ3Z')	1.0
3	('feces', 3002, 8, 'CSM5FZ44')	1.0
4	('feces', 3002, 9, 'CSM5FZ46')	1.0
5	('feces', 3003, 4, 'CSM5FZ48')	0.07216796874999962
6	('feces', 3003, 5, 'CSM5FZ4E')	1.0
7	('feces', 3003, 6, 'CSM5FZ4G')	1.0
8	('feces', 3003, 7, 'CSM5FZ4I')	0.9324218750000011
9	('feces', 3005, 4, 'CSM5FZ4O')	1.0
10	('feces', 3008, 4, 'CSM5MCU4')	0.36191406249999986
11	('feces', 3004, 5, 'CSM5MCU6')	0.07216796874999962
12	('feces', 3006, 6, 'CSM5MCUI')	1.0
13	('feces', 3007, 5, 'CSM5MCV1')	1.0
14	('feces', 3007, 6, 'CSM5MCV3')	1.0
15	('feces', 3007, 7, 'CSM5MCV5')	0.8329101562500009
16	('feces', 3007, 4, 'CSM5MCVB')	0.6740234375000005
17	('feces', 3001, 11, 'CSM5MCVD')	0.1584960937499997
18	('feces', 3001, 12, 'CSM5MCVF')	0.3234374999999998
19	('feces', 3009, 4, 'CSM5MCVH')	0.818066406250001
20	('feces', 3001, 13, 'CSM5MCVV')	1.0
21	('feces', 3008, 6, 'CSM5MCVZ')	0.2690429687499998
22	('feces', 3009, 5, 'CSM5MCW8')	1.0
23	('feces', 3001, 6, 'CSM5YRY7')	1.0
24	('feces', 5004, 8, 'ESM5GEZ8')	1.0
25	('feces', 5004, 9, 'ESM5GEZA')	1.0
26	('feces', 5001, 12, 'ESM5ME9G')	0.0507812499999996
27	('feces', 5008, 6, 'ESM5MEA7')	1.0
28	('feces', 5001, 13, 'ESM5MEBA')	1.0
29	('feces', 5008, 4, 'ESM5MEBL')	1.0
30	('feces', 5004, 11, 'ESM5MEBQ')	0.22763671874999974
31	('feces', 5001, 4, 'ESM5MEDZ')	1.0
32	('feces', 5001, 5, 'ESM5MEE2')	1.0
33	('feces', 5001, 7, 'ESM5MEE6')	1.0
34	('feces', 5001, 8, 'ESM5MEEA')	1.0
35	('feces', 5001, 9, 'ESM5MEEB')	1.0
36	('feces', 5003, 4, 'ESM5MEEC')	1.0
37	('feces', 5004, 4, 'ESM5MEEG')	1.0
38	('feces', 5002, 4, 'ESM5MEET')	1.0
39	('feces', 4001, 9, 'HSM5FZBP')	1.0
40	('feces', 4001, 7, 'HSM5FZBQ')	1.0
41	('feces', 4001, 8, 'HSM5FZBR')	1.0
42	('feces', 4001, 6, 'HSM5FZBT')	1.0
43	('feces', 4001, 5, 'HSM5FZBU')	1.0
44	('feces', 4014, 4, 'HSM5MD3L')	1.0
45	('feces', 4011, 5, 'HSM5MD3W')	0.7597656250000008
46	('feces', 4010, 5, 'HSM5MD47')	0.1666015624999997
47	('feces', 4006, 7, 'HSM5MD4A')	0.07490234374999963
48	('feces', 4006, 6, 'HSM5MD4B')	1.0
49	('feces', 4006, 5, 'HSM5MD4C')	1.0
50	('feces', 4007, 7, 'HSM5MD4P')	0.1622070312499997
51	('feces', 4007, 5, 'HSM5MD4R')	1.0
52	('feces', 4001, 12, 'HSM5MD5H')	1.0
53	('feces', 4001, 11, 'HSM5MD7W')	1.0
54	('feces', 4007, 4, 'HSM5MD7Z')	1.0
55	('feces', 4006, 4, 'HSM5MD86')	0.3537109374999999
56	('feces', 4010, 4, 'HSM5MD87')	0.13759765624999967
57	('feces', 4011, 4, 'HSM5MD8J')	0.22509765624999975
58	('feces', 2014, 4, 'MSM5FZ8Y')	0.6880859375000004
59	('feces', 2010, 7, 'MSM5FZ9N')	0.8409179687500008
60	('feces', 2010, 8, 'MSM5FZ9Q')	0.5981445312500003
61	('feces', 2010, 9, 'MSM5FZ9S')	0.6766601562500005
62	('feces', 2010, 11, 'MSM5FZ9T')	0.24033203124999974
63	('feces', 2014, 5, 'MSM5FZ9V')	0.5756835937500001
64	('feces', 2014, 7, 'MSM5FZ9Z')	0.5705078125
65	('feces', 2014, 8, 'MSM5FZA2')	0.6839843750000004
66	('feces', 2008, 20, 'MSM5LLD8')	1.0
67	('feces', 2010, 13, 'MSM5LLE5')	0.5739257812500002
68	('feces', 2010, 15, 'MSM5LLE9')	1.0
69	('feces', 2021, 13, 'MSM5LLEN')	1.0
70	('feces', 2034, 5, 'MSM5LLEX')	1.0
71	('feces', 2026, 5, 'MSM5LLFK')	1.0
72	('feces', 2026, 7, 'MSM5LLFO')	0.4921875
73	('feces', 2026, 9, 'MSM5LLFS')	1.0
74	('feces', 2026, 11, 'MSM5LLFU')	1.0
75	('feces', 2014, 15, 'MSM5LLGD')	1.0
76	('feces', 2014, 13, 'MSM5LLGH')	0.20781249999999973
77	('feces', 2014, 16, 'MSM5LLGJ')	0.34238281249999986
78	('feces', 2028, 8, 'MSM5LLGT')	1.0
79	('feces', 2028, 9, 'MSM5LLGV')	1.0
80	('feces', 2028, 11, 'MSM5LLGX')	1.0
81	('feces', 2027, 7, 'MSM5LLH6')	0.5413085937500001
82	('feces', 2025, 5, 'MSM5LLHE')	0.25576171874999976
83	('feces', 2025, 6, 'MSM5LLHG')	0.1779296874999997
84	('feces', 2025, 7, 'MSM5LLHI')	1.0
85	('feces', 2025, 9, 'MSM5LLHK')	0.930859375000001
86	('feces', 2025, 8, 'MSM5LLHM')	0.914746093750001
87	('feces', 2025, 11, 'MSM5LLHO')	1.0
88	('feces', 2008, 13, 'MSM5LLHZ')	0.948632812500001
89	('feces', 2025, 4, 'MSM5LLIC')	1.0
90	('feces', 2021, 5, 'MSM5LLIE')	1.0
91	('feces', 2021, 8, 'MSM5LLIK')	1.0
92	('feces', 2021, 9, 'MSM5LLIM')	1.0
93	('feces', 2021, 11, 'MSM5LLIO')	1.0
94	('feces', 2026, 4, 'MSM5LLIQ')	0.8878906250000008
95	('feces', 2027, 4, 'MSM5LLIS')	0.47783203124999996
96	('feces', 2014, 9, 'MSM5ZOJY')	0.7617187500000007
97	('feces', 2014, 11, 'MSM633FF')	1.0
